Bill,role,alderman,billID
BB 114 Ordinance relating to salaries of the Office of the Recorder of Deeds,Primary,arnowitz,BB 114
BB 152 Redevelopment plan for 4092 Robert,Primary,arnowitz,BB 152
BB 176 Soldiers Memorial Agreement,Co-Sponsor,arnowitz,BB 176
BB 265 Earnings Tax,Co-Sponsor,arnowitz,BB 265
BB 285 Traffic Management Enhancement bill,Co-Sponsor,arnowitz,BB 285
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,arnowitz,BB 36
BB 65 Civil Service Pay Bill,Co-Sponsor,arnowitz,BB 65
BB 99 Ordinance relating to Office of Recorder of Deeds,Primary,arnowitz,BB 99
BB 244 Four-way stop site at the intersection of Field Avenue and Blow Street,Primary,arnowitz,BB 244
BB 261 Domestic violence leave bill,Co-Sponsor,arnowitz,BB 261
BB 261 Domestic violence leave bill,Co-Sponsor,arnowitz,BB 261
BB 309 Ordinance prohibiting the use of alleys by operators of motor vehicles for drive through traffic,Co-Sponsor,arnowitz,BB 309
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,arnowitz,BB 11
BB 99 Collection of funds for prevention of domestic violence,Co-Sponsor,arnowitz,BB 99
BB 113 Street name change S. Sgt. Ron Bozikis,Primary,arnowitz,BB 113
BB 116 Redevelopment plan for 3830 & 3831 Boulevard Hgts,Primary,arnowitz,BB 116
BB 176 Safe and Thriving St. Louis Project,Primary,arnowitz,BB 176
BB 222 Ordinance establishing the Annual Public Safety Plan,Co-Sponsor,arnowitz,BB 222
BB 227 Lead  Hazard Reduction Demonstration Grant,Primary,arnowitz,BB 227
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the â€œAirportâ€ù),Co-Sponsor,arnowitz,BB 93
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,bosley,BB 11
"BB 65 Vacation of alley at Carter, Grand, Penrose, Obear",Primary,bosley,BB 65
BB 88 Ordinance prohibiting liquor in 3rd Ward,Primary,bosley,BB 88
BB 90 Ordinance regarding development plans for Madison Acres Area,Primary,bosley,BB 90
BB 106 Rezoning for NGA,Co-Sponsor,bosley,BB 106
BB 124 Ordinance repealing ordinance 6900 pertaining to liquor licenses in the Third Ward,Primary,bosley,BB 124
BB 193 An ordinance pertaining to unlawful possession of marijuana,Co-Sponsor,bosley,BB 193
BB 202 Ordinance closing traffic on Sullivan from Grand Avenue,Primary,bosley,BB 202
BB 219 NGA Protection Special Use District,Primary,bosley,BB 219
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,bosley,BB 233
BB 234 Ordinance establishing Independent Investigations Unit,Primary,bosley,BB 234
BB 239 Zoning change for 4231 - 41 N. Grand,Primary,bosley,BB 239
BB 25 An ordinance submitting to the qualified voters of the City a proposed amendment to the Charter of the City to maintain the Board of Aldermen as body of twenty-eight Aldermen,Co-Sponsor,bosley,BB 25
"BB 47 An Ordinance directing the Director of Streets to change the 3200 block of Sullivan from a one way passage to a two way passage, and containing an emergency clause.",Primary,bosley,BB 47
"BB 63 An ordinance directing the Director of Streets to make such changes in the present traffic pattern controlling traffic on Greer Ave., Dodier Ave., and University Ave. in the 3500 block of said streets between N. Grand Blvd. and N. Garrison Ave",Primary,bosley,BB 63
BB 93 An Ordinance requiring a City-wide vote to approve any proposal aimed at or having the effect of privatizing the Lambert St. Louis International Airport (the â€œAirportâ€ù),Co-Sponsor,bosley,BB 93
BB 58 An ordinance approving a Redevelopment Plan for the 1423-43 Hodiamont Avenue & 6113 Ridge Avenue Area,Primary,boyd,BB 58
BB 69 An ordinance establishing a Civilian Review Board,Co-Sponsor,boyd,BB 69
"BB 108 An ordinance pertaining to enforcement of code violations relating to buildings, structures and premises in the City of St. Louis.",Co-Sponsor,boyd,BB 108
"BB 139 An ordinance submitting to the qualified voters of the City of St. Louis a proposed amendment to the Charter of the City of St. Louis  relating to the competitive bidding procedure used by City of St. Louis to purchase or lease equipment, supplies, materials and services",Primary,boyd,BB 139
"BB 160 An ordinance designating a portion of the City of St. Louis, Missouri, as a redevelopment area known as the I-70 and Goodfellow Area, 4800-50 Goodfellow Blvd. pursuant to the Real Property Tax Increment Allocation Redevelopment Act;",Primary,boyd,BB 160
BB 258 Penalty for Building Code violations,Co-Sponsor,boyd,BB 258
BB 258 Penalty for Building Code violations,Co-Sponsor,boyd,BB 258
BB 268 Redevelopment plan for 2865 Arlington.,Primary,boyd,BB 268
BB 282 Ordinance relating to traffic control.,Co-Sponsor,boyd,BB 282
BB 282 Ordinance relating to traffic control.,Co-Sponsor,boyd,BB 282
BB 285 An ordinance pertaining to real estate signs within the City of St. Louis.,Co-Sponsor,boyd,BB 285
BB 285 An ordinance pertaining to real estate signs within the City of St. Louis.,Co-Sponsor,boyd,BB 285
BB 335 An ordinance pertaining to emergency vehicles,Co-Sponsor,boyd,BB 335
BB 363 Redevelopment plan for 6000 Natural Bridge,Primary,boyd,BB 363
BB 18 An ordinance reducing discrimination in housing.,Co-Sponsor,boyd,BB 18
BB 94 Probibiting liquor in the 22nd Ward,Primary,boyd,BB 94
BB 201 Secondhand junk dealers,Co-Sponsor,boyd,BB 201
BB 282 Stop site at Martin Luther King and Belt,Primary,boyd,BB 282
BB 292 Repealing liquor moratorium in the 22nd Ward,Primary,boyd,BB 292
BB 43 Redevelopment Plan St. Louis/Burd/maffitt/Clara,Primary,boyd,BB 43
BB 44 Redevelopment Plan 5960 Dr. Martin Luther King Dr.,Primary,boyd,BB 44
BB 102 Designating Fourth Street between Market Street and Chestnut Street as Dred Scott Way@.,Co-Sponsor,boyd,BB 102
BB 124 Prohibiting the operation of a vehicle if person's license is suspended,Co-Sponsor,boyd,BB 124
BB 167 Gateway Mall,Co-Sponsor,boyd,BB 167
BB 204 Redevelopment plan for 5733 Page,Primary,boyd,BB 204
BB 205 Redevelopment plan for 5582-98 Dr. Martin Luther King,Primary,boyd,BB 205
BB 292 Charter amend. relating to competitive bidding,Primary,boyd,BB 292
BB 348 Property sale to Hurwitz Holding Co.property at 2899 Hamilton,Primary,boyd,BB 348
BB 358 Redevelopment plan for 5801-05 MLK & 1507-11 Goodfellow,Primary,boyd,BB 358
BB 404 Cyber Harassment,Co-Sponsor,boyd,BB 404
BB 471 Redev. plan for 1617 Burd,Primary,boyd,BB 471
BB 472 Redev. plan for 5960 Cote Brilliante,Primary,boyd,BB 472
"BB 498 Designating Margaretta as ""Officer Norvelle T. Brown Avenue""",Primary,boyd,BB 498
"BB 498 Designating Margaretta as ""Officer Norvelle T. Brown Avenue""",Primary,boyd,BB 498
BB 58 Redev. plan for 1353 & 1357 Shawmut Place,Primary,boyd,BB 58
BB 95 An ordinance pertaining to cruising,Primary,boyd,BB 95
"BB 99 An ordinance approving a blighting study and redevelopment plan dated May 27, 2008 for the 5101 Farlin Ave.",Primary,boyd,BB 99
BB 177 Vacation of Cockrill between Ella & Minerva,Primary,boyd,BB 177
BB 226 Vacation of the east/west alley at MLK/Belt/Wells/Burd,Primary,boyd,BB 226
BB 296 Air quality projects involving traffic signals,Co-Sponsor,boyd,BB 296
BB 384 Non-emergency removal of vehicles,Primary,boyd,BB 384
BB 43 Public Works Bill,Co-Sponsor,boyd,BB 43
BB 75 Ordinance pertaining to public works establishing apprenticeship training.,Co-Sponsor,boyd,BB 75
"BB 77 BOARD BILL NO. 77   INTRODUCED BY ALDERMAN JEFFREY BOYDAn ordinance authorizing and directing the Street Commissioner to take all necessary actions to honorarily designate Burd Avenue as â€œPastor Michael Jones Avenue.â€ù",Primary,boyd,BB 77
BB 267 Arlington School project,Primary,boyd,BB 267
BB 322 Registration fee for certain buildings,Co-Sponsor,boyd,BB 322
BB 2 Ord. pertaining to Public Art,Co-Sponsor,boyd,BB 2
BB 25 Renaming 5500 Page as Rev. James Edward Cook Street,Primary,boyd,BB 25
"BB 35 Vacate n/s alley at Cote Brilliant, Burd, MLK, Clara",Primary,boyd,BB 35
BB 61 Redevelopment plan for MLK/ Burd/ Clara/Cote Brilliante/Clara,Primary,boyd,BB 61
BB 61 Redevelopment plan for MLK/ Burd/ Clara/Cote Brilliante/Clara,Primary,boyd,BB 61
BB 157 Prohibiting package liquor in the 22nd Ward,Primary,boyd,BB 157
BB 162 Amending the Excise Code,Primary,boyd,BB 162
BB 205 Limiting the number of honorary signs,Primary,boyd,BB 205
BB 206 Parking within 5800 St. Louis Ave. Residential Parking District,Primary,boyd,BB 206
BB 214 Redev. plan for 4100 Union,Primary,boyd,BB 214
BB 225 Earnings tax bill,Co-Sponsor,boyd,BB 225
BB 232 Parking at 5800 St. Louis Avenue,Primary,boyd,BB 232
BB 240 Establishing Backstoppers Fund,Co-Sponsor,boyd,BB 240
BB 256 Redev. plan for 1342 Montclair,Primary,boyd,BB 256
BB 8 Honorary street name cost and installation,Primary,boyd,BB 8
BB 10 Amending the Excise Code,Co-Sponsor,boyd,BB 10
BB 75 Ord. pertaining to dog training,Co-Sponsor,boyd,BB 75
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,boyd,BB 86
BB 87 Redev. plan for 5967-69 Martin Luther King,Primary,boyd,BB 87
BB 151 Redev. plan for 5473-75 Brown,Primary,boyd,BB 151
BB 186 Petition Signature,Primary,boyd,BB 186
BB 189 Ord. Relating to Forest Park,Co-Sponsor,boyd,BB 189
BB 219 Terminate TIFs - Goodfellow,Primary,boyd,BB 219
BB 258 Residential and commercial bicycling,Co-Sponsor,boyd,BB 258
BB 278 Ordinance pertaining to Secondhand dealers,Co-Sponsor,boyd,BB 278
BB 280 Ordinance pertaining to City Depositories,Primary,boyd,BB 280
BB 32 5% limit at service stations for liquor,Co-Sponsor,boyd,BB 32
BB 35 Ord. pertaining to the Preservation Review District,Co-Sponsor,boyd,BB 35
BB 99 4-Way Stop at Penrose and Darby,Primary,boyd,BB 99
BB 99 4-Way Stop at Penrose and Darby,Primary,boyd,BB 99
BB 161 Ordinance pertaining to solicitation on highway entrance and exit ramps,Co-Sponsor,boyd,BB 161
BB 179 Excise Code,Co-Sponsor,boyd,BB 179
BB 205 Martin Luther Kink lighting public works,Primary,boyd,BB 205
BB 265 Rename 1500 Union to Bishop Lawrence M. Wooten Blvd.,Co-Sponsor,boyd,BB 265
BB 295 Ord. pertaining to the opening of bids,Primary,boyd,BB 295
BB 297 City Public Works Projects,Co-Sponsor,boyd,BB 297
BB 8 Local Control,Co-Sponsor,boyd,BB 8
BB 9 1600 block of Belt Residential Parking District,Primary,boyd,BB 9
BB 56 Redevelopment plan for 5582-98 MLK,Primary,boyd,BB 56
BB 144 Prohib. liquor in 22nd Ward,Primary,boyd,BB 144
BB 185 Ordinance pertaining to children only play areas in City parks.,Co-Sponsor,boyd,BB 185
BB 199 Northside Regeneration TIF Plan,Co-Sponsor,boyd,BB 199
BB 200 Northside Regeneration TIF Agreement,Co-Sponsor,boyd,BB 200
BB 225 Redevelopment plan for 1171 Hodiamont,Primary,boyd,BB 225
BB 229 Veteran preference legislation,Primary,boyd,BB 229
BB 292 Redevelopment plan for Etzel Place V redevelopment area,Primary,boyd,BB 292
BB 332 Ordinance relating to identification of High Merit historic properties.,Co-Sponsor,boyd,BB 332
BB 170 Vacation of Hebert from Clara to Blackstone,Primary,boyd,BB 170
BB 175 Prohibiting liquor in 22nd Ward,Primary,boyd,BB 175
BB 189 Ordinance regarding veterans preference,Primary,boyd,BB 189
BB 111 Ordinance establishing the Tire Code,Primary,boyd,BB 111
BB 126 Renaming of the 5500 block of Page to Bishop James Holloway Boulevard,Primary,boyd,BB 126
BB 176 Soldiers Memorial Agreement,Co-Sponsor,boyd,BB 176
BB 205 Zoning change for 5239R Goodfellow,Primary,boyd,BB 205
BB 234 Redevelopment plan for 1318 Hodiamont,Primary,boyd,BB 234
BB 247 Fire prevention program,Primary,boyd,BB 247
BB 265 Earnings Tax,Co-Sponsor,boyd,BB 265
BB 280 Clarifications to the Firefighters' Retirement Plan,Primary,boyd,BB 280
"BB 321  blighting study and redevelopment plan dated February 23, 2016 for the Nathaniel Rivers Place Redevelopmen",Primary,boyd,BB 321
BB 3 Establishing a Tire Code,Primary,boyd,BB 3
BB 18 Repealing prohibition of liquor in Ward 22,Primary,boyd,BB 18
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,boyd,BB 36
BB 98 Ordinance pertaining to court fees,Primary,boyd,BB 98
BB 109 Missouri Clean Energy District,Co-Sponsor,boyd,BB 109
BB 151 Amending Public Nuisances Code,Co-Sponsor,boyd,BB 151
BB 287 Assistance to local election authorities,Primary,boyd,BB 287
BB 17 Street name change between Semple & Arlington to Rev. Reginald D. Rogers,Primary,boyd,BB 17
BB 31 Ordinance to Join Clean Energy Act,Co-Sponsor,boyd,BB 31
BB 39 Parking Division operating expenses,Primary,boyd,BB 39
BB 92 Ordinance pertaining to the Parking Meter Fund,Primary,boyd,BB 92
BB 120 Consistent sidewalk square replacement,Primary,boyd,BB 120
BB 173 Redevelopment plan for 2809 Belt,Primary,boyd,BB 173
BB 190 Ordinance pertaining to Parking Meter Fund,Primary,boyd,BB 190
BB 203 Ordinance establishing a public works project,Primary,boyd,BB 203
BB 216 Ordinance regarding business license regulations,Primary,boyd,BB 216
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,boyd,BB 233
BB 234 Ordinance establishing Independent Investigations Unit,Co-Sponsor,boyd,BB 234
BB 241 Collection of fines assessed by the Building Commission,Co-Sponsor,boyd,BB 241
BB 242 Enforcement of Code Violations,Co-Sponsor,boyd,BB 242
BB 252 2018 St. Louis Works and the 50/50 Sidewalk Programs City Wide,Primary,boyd,BB 252
BB 256 Parking meter fund,Primary,boyd,BB 256
BB 270 Minority and Women-Owned Business Enterprise Program for the City,Primary,boyd,BB 270
BB 32 business license regulations set forth in Title 8,Primary,boyd,BB 32
"BB 69 Parking Commission making appropriation for payment of the operating  expenses, capital equipment and improvement expenses, including lease purchase agreements involving Parking Division assets, and debt service expenses of the Parking Division of th",Primary,boyd,BB 69
BB 19 Redevelopment plan for 1817 & 1821-23 S. 9th St.,Primary,coatar,BB 19
BB 20 Redevelopment plan for 1923-25  S.10th St.,Primary,coatar,BB 20
BB 68 Amendment to the redevelopment agreement with Hallmark Hotels,Primary,coatar,BB 68
BB 69 Streetscape easement Washington Ave. MDFB,Primary,coatar,BB 69
BB 70 Streetscape easement Larrell TDD,Primary,coatar,BB 70
BB 71 Streetscape easement for Washington Avenue Laurel Condo,Primary,coatar,BB 71
BB 76 Ordinance regarding Maya Angelou's birthplace,Co-Sponsor,coatar,BB 76
BB 77 Downtown CID,Primary,coatar,BB 77
BB 77 Downtown CID,Primary,coatar,BB 77
BB 108 Ordinance pertaining to graduated business license,Co-Sponsor,coatar,BB 108
BB 109 Ordinance pertaining to the regulation of home occupations,Co-Sponsor,coatar,BB 109
BB 110 Ordinance concerning licensing and regulating of businesses,Co-Sponsor,coatar,BB 110
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,coatar,BB 115
BB 129 Redevelopment plan for 405 Washington,Primary,coatar,BB 129
BB 151 Redevelopment plan for Tower Grove East/Fox Pk,Co-Sponsor,coatar,BB 151
BB 159 Redevelopment plan for 700-02 Allen,Primary,coatar,BB 159
BB 168 Zoning change for 2117-31 S. 7th Street,Primary,coatar,BB 168
"BB 171 Vacation of n/s alley bounded by Poplar, Fourth, Cerre, Broadway",Primary,coatar,BB 171
BB 176 Soldiers Memorial Agreement,Co-Sponsor,coatar,BB 176
BB 180 Redevelopment plan for 2268 S. Jefferson,Primary,coatar,BB 180
BB 181 Redevelopment plan for 2242 Shenandoah,Primary,coatar,BB 181
BB 183 Renaming N. 3rd St. to Lumiere Place,Primary,coatar,BB 183
BB 219 Stadium Bill,Co-Sponsor,coatar,BB 219
BB 241 Redevelopment plan for 919-21 Ann,Primary,coatar,BB 241
BB 242 Redevelopment plan for 2217-21 S. 10th Street,Primary,coatar,BB 242
BB 243 Redevelopment plan for 1900-08 Lafayette,Primary,coatar,BB 243
BB 258 Redevelopment plan for 2401-05 S. 9th,Primary,coatar,BB 258
BB 259 Redevelopment plan for 2345 Russell Blvd.,Primary,coatar,BB 259
BB 265 Earnings Tax,Co-Sponsor,coatar,BB 265
BB 279 Prohibiting truck traffic on Russell,Primary,coatar,BB 279
BB 285 Traffic Management Enhancement bill,Co-Sponsor,coatar,BB 285
BB 322 An ordinance approving a blighting study and redevelopment plan for the 705 Olive St. Redevelopment Area,Primary,coatar,BB 322
"BB 323  The Petition Of An Owner Of Certain Real Property To Establish A Community Improvement District, Establishing The 705 Olive Community Improvement District, Finding A Public Purpose For The Establishment Of The 705 Olive Community Improvement District",Primary,coatar,BB 323
"BB 324 An Ordinance Authorizing The Execution Of A Cooperation Agreement And Authorizing Reimbursement In Accordance Therewith, And Containing A Severability Clause.",Primary,coatar,BB 324
BB 11 Zoning change for Downtown and Lasalle,Primary,coatar,BB 11
BB 27 Redevelopment plan for 400-421 S. 9th,Primary,coatar,BB 27
BB 28 Redevelopment plan for 705 Olive,Primary,coatar,BB 28
BB 29 Ordinance amending the Redevelopment plan for Tower Grove East/Fox Park,Co-Sponsor,coatar,BB 29
BB 30 Ordinance pertaining to vendors on the Wharf,Primary,coatar,BB 30
BB 37 Redevelopment plan for 2246 Shenandoah,Primary,coatar,BB 37
BB 38 Redevelopment plan for 2243 McNair,Primary,coatar,BB 38
BB 56 Redevelopment plan for 2105 Ann,Primary,coatar,BB 56
BB 66 Ordinance pertaining to vending,Primary,coatar,BB 66
BB 74 Redevelopment plan for 3127 Shenandoah,Primary,coatar,BB 74
BB 75 Redevelopment plan for 801-25 Ann,Primary,coatar,BB 75
BB 81 Cooperation agreement regarding 705 Olive,Primary,coatar,BB 81
BB 86 Redevelopment plan for 721 Victor,Primary,coatar,BB 86
BB 87 Redevelopment plan for Kosciusko Site,Primary,coatar,BB 87
BB 91 Vacation of Barton & 7th Street,Primary,coatar,BB 91
BB 109 Missouri Clean Energy District,Co-Sponsor,coatar,BB 109
BB 122 Redevelopment plan for 2329 Ann,Primary,coatar,BB 122
BB 123 Redevelopment plan for 2212-30 Shenandoah,Primary,coatar,BB 123
BB 172 Ordinance amending development agreement regarding Ballpark Village,Primary,coatar,BB 172
BB 177 Redevelopment plan for 501-09 Olive & 303 N. Broadway,Primary,coatar,BB 177
BB 191 Zoning change for Russell Blvd. Apartments,Primary,coatar,BB 191
BB 205 Ordinance establishing Building Energy Awareness,Primary,coatar,BB 205
"BB 210 vacation of alley at Papin, Tucker, Chouteau, 13th",Primary,coatar,BB 210
"BB 211 vacation of alley at Lombard, 3rd, Chouteau, 4th",Primary,coatar,BB 211
BB 226 Use Tax to Help Fund Soccer Stadium,Co-Sponsor,coatar,BB 226
"BB 236 Redevelopment plan for 1302-24, 1314 R Russell Blvd & 2128 Dolman St.",Primary,coatar,BB 236
BB 246 Scott Trade Center Bill,Co-Sponsor,coatar,BB 246
BB 251 Zoning change for 1322-32 Dolman,Primary,coatar,BB 251
BB 251 Zoning change for 1322-32 Dolman,Primary,coatar,BB 251
BB 258 501 Olive CID,Primary,coatar,BB 258
BB 258 501 Olive CID,Primary,coatar,BB 258
BB 267 Ordinance pertaining to City Housing Conservation Program,Primary,coatar,BB 267
BB 267 Ordinance pertaining to City Housing Conservation Program,Primary,coatar,BB 267
"BB 271 Amend blighting plan or 11th, Clark, 8th, Poplar",Primary,coatar,BB 271
"BB 271 Amend blighting plan or 11th, Clark, 8th, Poplar",Primary,coatar,BB 271
BB 290 MLS Stadium Financing Agreement,Co-Sponsor,coatar,BB 290
BB 291 amendment to Entertainment License Tax,Co-Sponsor,coatar,BB 291
BB 302 Municipal Court operations,Primary,coatar,BB 302
BB 308 Ordinance pursuant to Police Division Sergeant Bargaining Unit,Primary,coatar,BB 308
BB 5 Text to amend Zoning Code,Primary,coatar,BB 5
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,coatar,BB 11
BB 44 Ordinance amending the petition to establish the 14th & Market CID,Primary,coatar,BB 44
BB 47 Real Estate tax abatement for 2325 Ann,Primary,coatar,BB 47
"BB 63 Vacation of alley at bounded by Hickory, Grattan, Park and Dolman",Primary,coatar,BB 63
BB 96 Quit Claim for 910 S. 4th Street,Primary,coatar,BB 96
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,coatar,BB 132
BB 153 Redevelopment plan for 2330-32 S. 12th Street,Primary,coatar,BB 153
BB 154 Redevelopment plan for 2263-65 Indiana,Primary,coatar,BB 154
BB 159 Redevelopment plan for 1001-03 Russell,Primary,coatar,BB 159
BB 160 Redevelopment plan for 2222 Menard,Primary,coatar,BB 160
BB 175 706 Market TIF,Primary,coatar,BB 175
BB 178 Ordinance establishing a 3-way stop at Missouri and Ann,Primary,coatar,BB 178
"BB 181 Ordinance amending Redevelopment plan for Eleventh, Clark, 8th, Poplar",Primary,coatar,BB 181
BB 188 Ordinance to terminate the Orpheum Theater CID,Primary,coatar,BB 188
BB 195 Redevelopment plan for 2001-2003 Ann Av.,Primary,coatar,BB 195
BB 196 Redevelopment plan for 4121 Russell Blvd.,Co-Sponsor,coatar,BB 196
BB 203 Ordinance establishing a public works project,Co-Sponsor,coatar,BB 203
BB 217 Ordinance pertaining to the Zoning Code,Primary,coatar,BB 217
BB 228 Redevelopment plan for 701-705 N. 1st Street,Primary,coatar,BB 228
"BB 244  honorary street name, Bismarck Street will begin at the intersection of Barton Street and 7th Street and run north on 7th Street to Lami Street",Primary,coatar,BB 244
BB 250 An ordinance approving a Redevelopment Plan for 300 South Broadway.,Primary,coatar,BB 250
BB 255 Energy efficient heating,Primary,coatar,BB 255
"BB 4 vacate travel in 10 foot wide ""L"" shaped alley in City Block 798 as bounded by Shenandoah, 10th St., Lami and Menard",Primary,coatar,BB 4
"BB 10 Planning Commission pertaining to the Zoning Code, Title 26",Primary,coatar,BB 10
BB 24 An ordinance promoting the use of energy efficient heating through the connection to the Downtown Steam Distribution system;,Primary,coatar,BB 24
BB 67 Terminate and dissolve the Orpheum Theater Community District,Primary,coatar,BB 67
BB 84  Redevelopment Plan for the 2235 McNair Ave.,Primary,coatar,BB 84
BB 85 Redevelopment Plan for the 705-719 North 2nd St,Primary,coatar,BB 85
BB 90 An Ordinance Amending Ordinance Nos. 69146 and 69153; authorizing other related actions; and containing a Severability Clause.,Primary,coatar,BB 90
BB 47 Annual HUD Action Plan,Co-Sponsor,cohn,BB 47
BB 75 Ordinance pertaining to public works establishing apprenticeship training.,Co-Sponsor,cohn,BB 75
BB 83 Redevelopment plan for 4400-04 S. Grand,Primary,cohn,BB 83
BB 84 Redevelopment plan for 4541 Michigan,Primary,cohn,BB 84
BB 85 Redevelopment plan for 514-16 Fassen,Primary,cohn,BB 85
BB 105 Registration fee for vacant buildings,Co-Sponsor,cohn,BB 105
BB 146 Redevelopment plan for 4164 Chippewa,Primary,cohn,BB 146
BB 157 Francis Slay Park,Co-Sponsor,cohn,BB 157
BB 168 Redevelopment plan for 3152 Osceola,Primary,cohn,BB 168
BB 238 Ord. pertaining to public nuisance,Co-Sponsor,cohn,BB 238
BB 283 Ord. pertaining to bathhouses,Co-Sponsor,cohn,BB 283
BB 284 Ord. pertaining to boarding houses.,Co-Sponsor,cohn,BB 284
BB 285 Ord. pertaining to tatoo parlors,Co-Sponsor,cohn,BB 285
BB 288 Ordinance relating to refuse collection.,Co-Sponsor,cohn,BB 288
BB 289 Redev. plan for Dutchtown Scattered Sites,Primary,cohn,BB 289
BB 290 Redev. plan for 4753 Michigan,Primary,cohn,BB 290
BB 293 Ord. regarding boarding houses,Co-Sponsor,cohn,BB 293
BB 318 4-Way stop at Eichelberger and Virginia,Primary,cohn,BB 318
BB 323 Adopt of all Police Manual policies,Co-Sponsor,cohn,BB 323
BB 330 Ordinance est. Public Trust Fund,Co-Sponsor,cohn,BB 330
BB 2 Ord. pertaining to Public Art,Co-Sponsor,cohn,BB 2
BB 7 Ord. relating to complete streets policy,Primary,cohn,BB 7
BB 57 Redev. plan for 5102 Wicklow,Primary,cohn,BB 57
BB 67 Ordinance pertaining to discrimination.,Primary,cohn,BB 67
"BB 89 Redevelopment plan for 4650-72, 4651-73 Spring",Primary,cohn,BB 89
